SN,TITLE,CONTENT,VOTE_SCORE,REG_DATE
191894.0,코로나로 인해 비대면 서비스의 어려움을 겪는 어르신들을 도와주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191894,0.0,2021-12-17 10:34:45.0
191893.0,돈암동 더？아파트 단지 지하 1층부터 한진한신 아파트 단지까지 이어지는 오르막길에 계단설치 건의,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191893,5.0,2021-12-17 09:44:11.0
191892.0,대공원 잔듸밭을 인조잔듸로 교체해서 시민에게 개방해주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191892,5.0,2021-12-17 09:38:37.0
191891.0,코로나 방역에 문제점,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191891,0.0,2021-12-16 17:27:54.0
191889.0,고령자들게 임대주택 우선순위를~,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191889,0.0,2021-12-16 17:02:36.0
191888.0,민원시 자료 송부 방안 개선,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191888,1.0,2021-12-16 15:22:55.0
191886.0,코로나19 검사방법,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191886,5.0,2021-12-16 12:56:19.0
191885.0,수급자신청방법및선정과정,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191885,0.0,2021-12-16 12:14:59.0
191884.0,전국 및 서울시를 들쑤시는 악법,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191884,0.0,2021-12-16 02:40:12.0
191883.0,(중요)각 지자체에  키오스크를 설치하여 사용에 어려움을 겪는 사람을 위한 교육 및 체험 활성화,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191883,0.0,2021-12-16 00:52:39.0
191882.0,(긴급제안) 환경미화원 야간 교통사고 예방 ‘휴대용 LED 경광등’ 지급 필요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191882,1.0,2021-12-16 00:13:41.0
191881.0,간선 도로 및 학교앞 어린이 보호구간 제한 속도 관련,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191881,0.0,2021-12-15 18:14:27.0
191880.0,인도 선전물 단속,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191880,1.0,2021-12-15 17:41:27.0
191879.0,가변 도로의 선전물 및 배너 단속,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191879,1.0,2021-12-15 17:37:32.0
191878.0,sh임대주택과 기초생활수급자,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191878,0.0,2021-12-15 14:31:43.0
191877.0,PCR 검사,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191877,0.0,2021-12-15 12:12:51.0
191876.0,서로에게 선물이 되어주는 보람산타,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191876,0.0,2021-12-14 23:03:35.0
191875.0,선별진료소 운영시간 업데이트 요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191875,0.0,2021-12-14 21:25:15.0
191874.0,오세훈 시장은 시민의 복지문제에 대해 협조해주십시오.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191874,0.0,2021-12-14 17:19:23.0
191872.0,대통령 예비후 선거사무소,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191872,0.0,2021-12-14 15:18:47.0
191871.0,선별진료소 확대와 운영시간,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191871,0.0,2021-12-14 14:56:44.0
191869.0,한강자전거 쉼터(게스트하우스) 제안합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191869,0.0,2021-12-14 12:23:04.0
191867.0,비둘기 불임사료 투여의 필요성,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191867,3.0,2021-12-14 09:20:50.0
191866.0,서울온건강온의 참여대상연령 확대를 제안합니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191866,0.0,2021-12-13 17:28:23.0
191864.0,팬데믹 상황의 비대면 활동울 위한 IT 기기 지원,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191864,1.0,2021-12-13 13:58:56.0
191862.0,청년정책 홍보 관련,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191862,0.0,2021-12-13 13:50:47.0
191861.0,코로나 선별진료소 번호표 대기,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191861,1.0,2021-12-13 12:39:24.0
191860.0,모두를 위한 대중교통 제안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191860,0.0,2021-12-13 12:24:35.0
191859.0,합정동 한강변 신속통합기획 447번지 가로주택 의견입니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191859,0.0,2021-12-13 11:48:47.0
191858.0,재택치료 메뉴얼 있긴해요??,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191858,0.0,2021-12-13 11:31:20.0
191857.0,선별진료소 검사시간 늘려주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191857,1.0,2021-12-13 09:06:55.0
191856.0,구민 단계의 사회적 프로젝트 지원사업을 제안합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191856,0.0,2021-12-12 15:27:11.0
191855.0,코로나 대응,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191855,0.0,2021-12-12 12:05:34.0
191854.0,코로나 검사 시간이 하루만에 변경,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191854,0.0,2021-12-12 11:52:25.0
191853.0,스마트기기 활용 교육 강화 및 관리 어플 개발,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191853,0.0,2021-12-12 07:34:36.0
191852.0,광화문 광장에 광개토대왕릉비 조형물 설치해주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191852,0.0,2021-12-11 12:01:07.0
191851.0,마음병원이 필요해요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191851,0.0,2021-12-11 01:44:31.0
191850.0,민주시민으로 성장하기 위해 꼭 필요한 교육  민주시민교육을 정규교육 시간에 배정 해 주세요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191850,1.0,2021-12-11 01:37:11.0
191849.0,"돌봄 사각지대도 메꾸고, 마을 공동체도 꾸려요.",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191849,0.0,2021-12-11 01:27:17.0
191848.0,똑똑똑! 안부를 묻는 식물 우체국,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191848,0.0,2021-12-10 20:24:58.0
191847.0,"모두의 작업실, 열린 작업실",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191847,0.0,2021-12-10 20:24:21.0
191846.0,육아 예술가들의 고독감을 해결하기 위한 육아하는 예술가들의 수다방 ( 手茶房: 창작하고 이야기하고 고민을 나누는 육아 예술가들의 쉼터),http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191846,0.0,2021-12-10 17:18:52.0
191845.0,여성 자영업자들이 경험하는 문제에 함께 힘을 모아주세요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191845,0.0,2021-12-10 14:43:26.0
191844.0,서소문에서 충정로 다리  도로 포장,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191844,0.0,2021-12-10 12:45:40.0
191843.0,분리수거시 깨끗하게 버리기 위한 방안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191843,0.0,2021-12-09 20:02:23.0
191842.0,학교앞 횡단보도,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191842,0.0,2021-12-09 19:51:01.0
191841.0,코로나검사후 자가격리 안내,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191841,0.0,2021-12-09 17:45:22.0
191840.0,신월IC 지난서 화곡터널쪽 도로 개방,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191840,0.0,2021-12-09 17:27:57.0
191839.0,출퇴근 자들을 위한 지하철 역사와 연계된 복합 자전거 보관 센터를 운영해주세요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191839,0.0,2021-12-09 15:24:05.0
191838.0,수퍼빈을 설치해주세요!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191838,0.0,2021-12-09 15:15:59.0
191837.0,서울시 선별진료소 대기 방법 - 번호표 배부,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191837,0.0,2021-12-09 14:07:21.0
191836.0,어린이집 영유아 보육활동 교육자료의 보육교사 자부담 유료비용 완화,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191836,0.0,2021-12-09 13:28:10.0
191835.0,드라이브스루 진료소 늘려주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191835,0.0,2021-12-09 11:45:28.0
191834.0,호수 공원 보관함 만들어주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191834,0.0,2021-12-08 19:38:43.0
191833.0,선별진료소 늘려,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191833,0.0,2021-12-08 16:03:15.0
191832.0,도서관 백신패스 당장 멈춰라!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191832,1.0,2021-12-08 15:19:41.0
191830.0,초등학교 앞 도로의 제한 속도 위반 단속 활성화 및 안전 확보,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191830,0.0,2021-12-08 14:38:27.0
191829.0,반포주공 1단지 나무 이전에 관하여,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191829,0.0,2021-12-08 14:17:22.0
191828.0,항공기에 탄소세 부과,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191828,0.0,2021-12-08 13:16:16.0
191826.0,"코로나19 검사 시, 체취에 관한 우려",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191826,0.0,2021-12-08 12:21:56.0
